,State Code,County Code,year,month,Land Use,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
0,1,3,2018,1,COMMERCIAL,10,0,0,0,0
1,1,3,2018,2,COMMERCIAL,10,0,0,0,0
2,1,3,2018,3,COMMERCIAL,29,2,0,0,0
3,1,3,2018,4,COMMERCIAL,26,4,0,0,0
4,1,3,2018,5,COMMERCIAL,20,6,0,0,0
5,1,3,2018,6,COMMERCIAL,25,5,0,0,0
6,1,3,2018,7,COMMERCIAL,26,5,0,0,0
7,1,3,2018,8,COMMERCIAL,31,0,0,0,0
8,1,3,2018,9,COMMERCIAL,27,0,0,0,0
9,1,3,2018,10,COMMERCIAL,30,1,0,0,0
10,1,3,2018,11,COMMERCIAL,4,0,0,0,0
11,1,3,2018,12,COMMERCIAL,11,0,0,0,0
12,1,3,2019,1,COMMERCIAL,7,1,0,0,0
13,1,3,2019,2,COMMERCIAL,9,0,0,0,0
14,1,3,2019,3,COMMERCIAL,28,3,0,0,0
15,1,3,2019,4,COMMERCIAL,23,5,0,0,0
16,1,3,2019,5,COMMERCIAL,28,3,0,0,0
17,1,3,2019,6,COMMERCIAL,24,6,0,0,0
18,1,3,2019,7,COMMERCIAL,27,4,0,0,0
19,1,3,2019,8,COMMERCIAL,28,2,0,0,0
20,1,3,2019,9,COMMERCIAL,27,3,0,0,0
21,1,3,2019,10,COMMERCIAL,31,0,0,0,0
22,1,3,2019,11,COMMERCIAL,7,1,0,0,0
23,1,3,2019,12,COMMERCIAL,6,0,0,0,0
24,1,3,2020,1,COMMERCIAL,11,0,0,0,0
25,1,3,2020,2,COMMERCIAL,10,0,0,0,0
26,1,3,2020,3,COMMERCIAL,30,1,0,0,0
27,1,3,2020,4,COMMERCIAL,27,3,0,0,0
28,1,3,2020,5,COMMERCIAL,29,2,0,0,0
29,1,3,2020,6,COMMERCIAL,28,1,0,0,0
30,1,3,2020,7,COMMERCIAL,27,1,0,0,0
31,1,3,2020,8,COMMERCIAL,28,3,0,0,0
32,1,3,2020,9,COMMERCIAL,23,1,0,0,0
33,1,3,2020,10,COMMERCIAL,28,1,0,0,0
34,1,3,2020,11,COMMERCIAL,8,2,0,0,0
35,1,3,2020,12,COMMERCIAL,7,0,0,0,0
36,1,33,2018,1,INDUSTRIAL,9,1,0,0,0
37,1,33,2018,2,INDUSTRIAL,9,0,0,0,0
38,1,33,2018,3,INDUSTRIAL,30,1,0,0,0
39,1,33,2018,4,INDUSTRIAL,25,4,0,0,0
40,1,33,2018,5,INDUSTRIAL,20,3,0,0,0
41,1,33,2018,6,INDUSTRIAL,24,6,0,0,0
42,1,33,2018,7,INDUSTRIAL,29,2,0,0,0
43,1,33,2018,8,INDUSTRIAL,28,3,0,0,0
44,1,33,2018,9,INDUSTRIAL,30,0,0,0,0
45,1,33,2018,10,INDUSTRIAL,31,0,0,0,0
46,1,33,2018,11,INDUSTRIAL,9,1,0,0,0
47,1,33,2018,12,INDUSTRIAL,10,1,0,0,0
48,1,33,2019,1,INDUSTRIAL,9,0,0,0,0
49,1,33,2019,2,INDUSTRIAL,10,0,0,0,0
50,1,33,2019,3,INDUSTRIAL,30,1,0,0,0
51,1,33,2019,4,INDUSTRIAL,30,0,0,0,0
52,1,33,2019,5,INDUSTRIAL,29,2,0,0,0
53,1,33,2019,6,INDUSTRIAL,28,2,0,0,0
54,1,33,2019,7,INDUSTRIAL,29,2,0,0,0
55,1,33,2019,8,INDUSTRIAL,31,0,0,0,0
56,1,33,2019,9,INDUSTRIAL,29,1,0,0,0
57,1,33,2019,10,INDUSTRIAL,31,0,0,0,0
58,1,49,2018,1,AGRICULTURAL,31,0,0,0,0
59,1,49,2018,2,AGRICULTURAL,28,0,0,0,0
60,1,49,2018,3,AGRICULTURAL,31,0,0,0,0
61,1,49,2018,4,AGRICULTURAL,21,9,0,0,0
62,1,49,2018,5,AGRICULTURAL,15,11,0,0,0
63,1,49,2018,6,AGRICULTURAL,19,7,0,0,0
64,1,49,2018,7,AGRICULTURAL,26,1,0,0,0
65,1,49,2018,8,AGRICULTURAL,28,3,0,0,0
66,1,49,2018,9,AGRICULTURAL,30,0,0,0,0
67,1,49,2018,10,AGRICULTURAL,31,0,0,0,0
68,1,49,2018,11,AGRICULTURAL,29,1,0,0,0
69,1,49,2018,12,AGRICULTURAL,31,0,0,0,0
70,1,49,2019,1,AGRICULTURAL,31,0,0,0,0
71,1,49,2019,2,AGRICULTURAL,28,0,0,0,0
72,1,49,2019,3,AGRICULTURAL,28,3,0,0,0
73,1,49,2019,4,AGRICULTURAL,27,3,0,0,0
74,1,49,2019,5,AGRICULTURAL,30,1,0,0,0
75,1,49,2019,6,AGRICULTURAL,25,5,0,0,0
76,1,49,2019,7,AGRICULTURAL,27,4,0,0,0
77,1,49,2019,8,AGRICULTURAL,29,2,0,0,0
78,1,49,2019,9,AGRICULTURAL,22,8,0,0,0
79,1,49,2019,10,AGRICULTURAL,28,3,0,0,0
80,1,49,2019,11,AGRICULTURAL,30,0,0,0,0
81,1,49,2019,12,AGRICULTURAL,31,0,0,0,0
82,1,49,2020,1,AGRICULTURAL,31,0,0,0,0
83,1,49,2020,2,AGRICULTURAL,29,0,0,0,0
84,1,49,2020,3,AGRICULTURAL,30,1,0,0,0
85,1,49,2020,4,AGRICULTURAL,30,0,0,0,0
86,1,49,2020,5,AGRICULTURAL,28,3,0,0,0
87,1,49,2020,6,AGRICULTURAL,29,1,0,0,0
88,1,49,2020,7,AGRICULTURAL,30,1,0,0,0
