,State Code,County Code,year,Population,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
0,1,3,2018,218071,249,23,0,0,0
1,1,3,2019,223565,245,28,0,0,0
2,1,3,2020,229287,256,15,0,0,0
3,1,33,2018,54970,254,22,0,0,0
4,1,33,2019,55241,256,8,0,0,0
5,1,49,2018,71430,320,32,0,0,0
6,1,49,2019,71506,336,29,0,0,0
7,1,49,2020,71658,354,12,0,0,0
8,1,51,2018,81189,213,12,0,0,0
9,1,51,2019,81575,226,13,0,0,0
10,1,51,2020,82158,203,0,0,0,0
11,1,55,2018,102766,253,32,0,0,0
12,1,55,2019,102460,243,37,0,0,0
13,1,55,2020,102371,262,17,0,0,0
14,1,69,2018,104943,257,24,0,0,0
15,1,69,2019,106240,263,20,0,0,0
16,1,73,2018,659672,268,94,0,3,0
17,1,73,2019,658539,260,98,0,7,0
18,1,73,2020,655342,310,55,0,1,0
19,1,89,2018,367386,245,40,0,1,0
20,1,89,2019,372547,240,43,0,0,0
21,1,89,2020,379453,266,20,0,0,0
22,1,97,2018,414275,326,35,0,0,0
23,1,97,2019,413516,337,27,0,0,0
24,1,97,2020,412716,340,13,0,0,0
25,1,101,2018,226631,256,26,0,0,0
26,1,101,2019,226074,246,33,0,1,0
27,1,101,2020,224639,265,14,0,0,0
28,1,103,2018,119216,252,32,0,0,0
29,1,103,2019,119630,248,30,0,0,0
30,1,103,2020,119883,255,17,0,0,0
31,1,113,2018,57933,232,37,0,0,0
32,1,113,2019,58098,245,36,0,0,0
33,1,113,2020,58237,259,16,0,0,0
34,1,117,2018,215877,336,27,0,2,0
35,1,117,2019,218176,318,42,0,3,0
36,1,117,2020,221428,354,12,0,0,0
37,1,119,2018,12661,229,13,0,0,0
38,1,119,2019,12358,235,9,0,0,0
39,1,119,2020,12225,242,0,0,0,0
40,1,125,2018,208607,259,25,0,1,0
41,1,125,2019,210321,244,22,0,0,0
42,1,125,2020,210758,271,9,0,0,0
43,2,20,2018,291377,204,0,0,0,0
44,2,20,2019,288790,209,0,0,0,0
45,2,20,2020,287095,366,0,0,0,0
46,2,68,2018,2047,363,2,0,0,0
47,2,68,2019,2125,363,1,0,0,0
48,2,68,2020,2081,354,1,0,0,0
49,2,90,2018,98749,261,78,0,26,0
